date,DCC0040180,DCC0040330,DCC0040500,FX00020200,FX00020251,FX00020500,FX00020750,FX00021001,FX00022000,FXC0020180,FXC0020200,GIC0120300,KO00010200,KO00010251,KO00010300,KO00010500,KO00010750,KO00011001,KO00012000,KOC0010180,KOC0010200,KOC0010330,KS00100300,KS00100750,KW00110500,KW00111000,LX00060200,LX00060251,LX00060300,LX00060500,LX00060600,LX00060750,LX00061001,LX00062000,LXC0060180,LXC0060200,MM00181001,MON0330350,MZ00090600,MZ00091200,MZ00091751,SP00030200,SP00030251,SP00030300,SP00030500,SP00030750,SP00031001,SP00032000,SPC0030180,SPC0030200,SSW0100300,STW0110300,TU00050200,TU00050251,TU00050500,TU00050750,TU00051001,TU00052000,TUC0050180,TUC0050200,ZKC0700180,ZKC0700300
2023/6/18,6296,227,5427,997,3157,4669,5606,11117,19248,5683,1592,1636,14636,124052,2083,24345,37414,67405,96271,16575,4343,3036,873,18831,2691,113334,2674,68881,495,11886,707,21406,38701,57991,3594,1579,2,544,17176,10873,21751,1760,15848,0,7051,13227,24888,16595,9325,3438,668,749,2055,38304,4187,5668,12190,9742,4944,4896,1042,2474
2023/6/25,2348,529,8990,944,22700,6237,4779,13866,27667,3397,1315,1555,27379,75658,1485,30674,44913,64606,97337,10305,13550,2377,104,38823,3710,120202,1611,77054,314,18242,371,22231,32959,82577,1702,941,0,326,28186,18890,24045,952,23626,0,10674,14851,16974,20897,1672,2359,227,1160,1493,45769,7643,14529,24162,9382,29885,2177,1400,918
2023/7/2,7575,102,5825,592,19864,1787,5283,10083,21891,658,1225,2772,19611,113364,803,26327,38016,72471,71239,10396,6150,1609,84,13419,954,69638,1920,66317,204,12056,16,16140,44261,51273,956,515,1305,284,10584,9665,10719,921,14081,0,10130,29349,12495,28141,2677,1616,301,1057,1255,42774,4586,7186,10682,8309,11600,1114,610,2792
2023/7/9,3222,13,3055,701,19776,6849,4038,2019,19119,415,387,1557,20455,67513,2340,27349,32402,65264,74121,7762,8840,2902,0,10699,600,81698,1449,60419,60,13368,0,15038,24333,46223,1235,486,634,342,21397,16545,14303,945,19412,0,15021,12656,15127,21967,1347,4832,342,482,720,28918,5468,5285,4964,8254,2927,3219,631,1945
2023/7/16,2394,15,1299,348,13756,3862,1445,5527,7354,3004,208,302,3764,44077,611,10839,15685,43115,34152,2557,5121,1252,0,19385,158,96115,1104,23209,106,6696,1101,6205,11602,16836,309,191,250,3085,10359,8766,5058,315,14295,0,8945,3359,6064,7595,1826,2414,416,3049,0,24081,2620,2579,5043,6208,4494,690,499,883
2023/7/23,9244,127,10932,450,24588,3239,2437,5702,10133,2922,624,2051,15909,125170,1969,18469,29687,51703,68345,10230,6483,575,0,9601,100,32658,1629,86684,6,8639,610,15415,20626,51609,623,328,1197,582,11447,10726,5657,423,35671,0,7533,5524,9703,13695,569,2848,973,1934,589,56814,3335,795,7675,5339,3035,1017,310,3063
2023/7/30,2901,127,4019,808,25335,2290,4034,7504,10802,648,596,2044,20015,97102,613,22678,42268,56833,57665,4065,9166,2375,0,31672,190,108697,1347,65422,0,11548,1341,17805,27677,31024,374,327,4535,4250,16650,13819,14598,1372,26755,0,6905,6626,9747,9507,3106,2261,10,1851,2474,41045,3756,4987,9847,4179,1936,3928,845,4329
2023/8/6,4964,344,5778,880,9551,2420,3600,3988,13443,1945,806,1667,14601,66707,929,16564,33329,48974,51337,9434,5946,1485,0,14140,456,109335,1790,50821,0,8613,384,15137,24188,33632,1892,1170,997,625,15137,8468,2582,1278,15382,0,4277,6028,6727,9624,1346,2494,801,1960,1477,18114,3131,4690,6319,6536,2049,3386,585,4620
2023/8/13,5481,25,6999,573,6586,2404,3428,5928,11595,1228,1227,3596,18290,100349,4046,21650,36063,69539,50262,6973,9350,1926,0,11543,30,96429,1291,64511,14,11197,100,14508,29022,34312,624,1106,772,321,13859,14240,3105,1141,27360,0,4547,6320,11535,8416,1259,776,1116,742,1333,27195,3171,3192,8400,7705,3779,3262,774,764
2023/8/20,7696,25,2306,552,12192,2551,875,6012,11506,960,345,2109,15369,24895,2369,15440,35635,62726,62315,2769,643,229,0,24813,166,98840,1567,39215,12,10385,672,13602,25955,36708,584,327,1720,200,12813,6673,6110,1081,10117,0,7810,8158,11917,11425,1782,900,45,1501,1251,14595,3267,1195,7271,7080,5223,1101,495,220
2023/8/27,3838,899,303,44,13806,3302,2890,6660,13757,1931,1293,2351,18293,68689,2329,18870,26267,67644,65954,15109,5797,15,0,10858,6226,48249,993,40976,837,6710,466,19759,24329,47836,2176,1351,1444,3040,14449,8989,8684,331,30004,0,7186,5747,13405,12501,3107,1662,196,1373,802,18557,4619,4639,8382,7820,3250,2406,727,4840
2023/9/3,1588,1196,7763,856,2468,1766,5385,6952,13088,111,1106,573,12217,103690,1919,19168,32434,86967,64172,11548,13314,8330,0,15121,0,45806,2500,47087,174,10620,2263,17820,37633,37528,606,2396,0,290,7520,6587,22961,1339,26797,0,5113,6109,9503,11598,2700,4598,1380,4417,1022,22404,2469,5808,8741,3153,1823,5133,690,689
2023/9/10,9811,603,13613,712,2637,3758,5613,7667,12131,149,1158,936,11446,103448,1709,21457,35902,78415,80773,13952,17684,578,0,15564,105,92868,1375,86639,177,12981,953,21020,31140,53676,1393,1403,0,1605,20173,12229,19147,1345,22289,0,5928,5232,12183,14765,1051,1621,1261,1884,0,29142,3483,2452,10344,11215,7201,6486,1678,631
2023/9/17,10619,493,9591,1578,40389,2749,4598,5763,32829,3411,710,5265,32398,75089,775,24014,31316,66109,89284,10831,14513,1306,0,15936,0,77697,2514,79243,296,10280,1235,12657,25085,49063,554,651,838,397,12189,5248,9976,1725,11263,0,5557,7891,11187,9269,2590,3796,675,2287,22,31579,3263,3983,7467,9723,3627,2632,833,4165
2023/9/24,5989,118,9111,415,25876,1417,3209,3748,10209,1126,1025,674,19183,67348,1214,14117,28576,50472,34531,7920,6627,37,0,18526,5955,106350,892,52141,268,5722,495,10192,16419,20568,3521,1378,5666,587,8148,6239,1591,378,24706,562,5269,5762,7368,11802,1702,2065,476,3822,10,34041,2678,4818,6981,9646,4581,4503,955,4348
2023/10/1,5612,56,4033,645,17265,1453,2455,3564,14328,649,420,1922,15482,98474,2685,20607,33081,73640,40208,8249,12103,6558,0,28609,244,120415,1509,70429,165,7727,474,12764,19972,30707,2118,1019,2197,403,10611,6798,6965,1358,28810,255,3894,5203,7524,13344,2432,841,628,1544,15,30418,2272,3686,8594,11192,4851,557,1230,2315
2023/10/8,5126,258,7535,920,8529,918,2491,1043,7850,757,407,1666,21015,48739,1913,11513,23689,50062,30878,4369,6569,2611,0,13996,1193,61055,1612,29781,155,4797,830,6343,9810,17153,947,2600,985,289,7059,2663,5854,1419,13653,267,2908,3684,3625,5203,334,213,661,1282,3599,12845,1339,3581,3781,4499,1407,3540,1527,1166
2023/10/15,7674,98,8417,136,20923,425,1845,3049,15137,1557,3169,1882,21002,142531,1718,15245,25092,48168,85756,4662,11995,1626,0,18957,367,53678,461,69367,282,3670,678,7574,13410,27784,998,1141,1535,150,8075,3900,4088,290,29071,48,2685,3896,6198,10159,2214,4134,731,4862,1045,40786,1555,3302,4053,7697,529,3401,665,4448
2023/10/22,3775,65,10079,520,7232,140,549,927,4303,1504,863,1004,12644,78448,631,8095,14416,28997,28406,5220,11089,3460,0,12137,81,53633,723,30700,85,1642,183,4776,5219,6586,242,97,2279,1952,4014,1634,1842,1019,11361,6,1760,2937,2608,3283,767,922,291,1723,1134,19199,870,2474,2902,2895,4135,68,701,1493
2023/10/29,3878,74,2846,117,4382,177,428,1007,9533,1295,1348,921,11186,35652,1485,9498,16425,25861,69334,7470,6971,1712,0,33059,11,69156,351,17758,105,2508,117,3681,4775,16631,521,85,1581,231,3005,2315,894,243,8130,5,1713,2345,2416,6861,2115,501,892,1039,522,5787,1440,2549,2277,9751,2370,4847,613,3883
2023/11/5,6497,100,7001,264,3654,290,138,682,4524,1960,594,2714,13684,59317,1042,6665,15603,25157,13186,8622,9381,1681,0,14935,11,62199,443,20401,116,1524,351,3579,3825,6127,1980,2337,473,1969,2450,1906,895,790,9289,0,1081,2050,1146,2580,1879,2359,394,2295,631,8710,570,2023,2449,2136,4067,5028,549,779
2023/11/12,3255,226,10172,0,574,459,75,553,4526,250,344,2667,9779,28647,306,11583,22284,32768,24972,6117,4383,1119,459,10546,26,44031,81,8682,0,1167,120,3155,3618,6747,1074,529,966,181,2336,816,1788,99,2395,0,938,1466,390,2399,2040,1030,479,2843,99,4032,326,2181,2626,984,2241,1353,334,4510
2023/11/19,5036,407,4473,127,1287,855,776,1757,10164,325,1342,3869,10452,52359,720,5355,17142,25562,40355,9002,8584,1377,880,19730,2581,137967,342,20924,81,1722,324,3173,2785,20399,1901,958,518,285,2912,1771,1760,378,2938,0,1376,335,993,2878,1947,719,333,4608,910,5772,1030,1234,1923,2643,2478,1795,621,4357
2023/11/26,4162,13,4774,0,11138,460,1783,2216,20631,2058,453,3230,6897,65418,1555,11442,26528,44039,46313,10052,8979,816,49,55346,906,64703,388,19051,166,2243,248,3466,7276,26886,1585,725,1075,138,2609,1919,2278,287,12354,0,1519,208,3740,9845,682,1784,841,1245,637,4344,420,1338,4848,4838,1213,3966,813,274
2023/12/3,5182,4,3462,136,1703,458,379,723,3790,2704,603,1826,6359,10206,972,7131,6047,7975,17162,6188,7521,679,0,29939,130,68989,64,5523,64,781,371,1078,1473,5567,545,1235,355,166,718,536,554,183,3839,0,856,2072,288,3612,1416,2526,613,4904,162,4070,600,2873,1456,2381,4146,3585,277,3627
2023/12/10,4746,283,11869,0,4268,529,418,431,13704,828,2734,2399,6699,23942,689,6412,7596,17708,29514,9713,6819,1154,0,24955,607,110095,122,15215,0,1019,315,1483,3673,15240,986,2941,450,370,1889,2109,818,17,6028,0,978,2722,279,5090,4320,4753,189,4502,117,2908,235,2284,2249,3499,1281,960,219,7026
2023/12/17,2352,1072,9671,0,2212,547,372,44,2490,13,459,1466,5264,20887,56,5308,9991,8403,12253,9773,8068,2896,0,18115,15,54789,195,11505,12,446,181,932,780,3487,1554,1017,493,782,898,384,561,42,3341,0,718,2502,153,581,1918,414,1761,5040,57,6,160,1502,244,1246,2131,1053,15,2013
2023/12/24,1936,374,4645,0,342,898,71,11,277,1978,661,4575,2853,1850,324,954,8381,1921,1768,7262,7780,2217,0,1424,314,36181,0,838,20,10,55,2597,251,900,1180,1722,111,127,54,723,30,0,417,0,86,1094,0,127,1711,2506,923,5808,0,0,30,1522,66,245,1772,5066,192,1901
2023/12/31,6918,267,6577,0,27,532,0,0,284,990,1215,222,0,473,48,160,4147,366,1247,1464,6447,121,0,791,0,11233,0,284,0,58,0,1355,174,705,421,1154,0,172,72,394,10,0,90,0,48,798,0,126,355,1016,1328,15,0,0,20,639,0,101,697,755,263,2162
2024/1/7,2997,0,1183,0,15935,530,256,958,2046,1406,708,1246,15592,123374,2586,26686,30534,32593,29807,8391,5498,5168,0,14959,190,72464,429,66902,63,4036,0,6468,6798,7915,1517,111,750,108,4507,259,5458,25,29958,0,5821,4181,3111,5808,1426,3388,687,10,85,53785,994,4636,7343,3303,1991,1244,1062,3613
2024/1/14,961,0,10603,0,2619,953,2454,374,2519,882,1038,4460,8557,27303,674,12492,19256,18760,30375,9982,9560,27,0,29987,70,104694,183,28778,92,3591,0,4988,2496,11481,1199,270,4257,129,2079,4456,3601,16,25886,0,7245,4533,6885,6885,3094,3476,610,11648,12,39025,3312,4342,3203,876,3484,1538,963,1712
2024/1/21,442,0,6302,0,5332,483,849,231,6546,529,1910,2530,1467,46069,0,12147,8581,8118,9133,6551,10428,5280,0,12405,0,66668,108,22674,36,2957,329,2684,1415,6824,507,92,2383,91,1659,7430,5860,0,14675,0,3123,1964,1584,4643,2039,1457,134,544,0,17444,1673,1653,1394,1478,1516,6354,1280,6578
2024/1/28,8999,0,3441,0,5951,1136,1013,275,8680,2744,1003,1785,6720,6787,1828,4570,10682,22786,26426,5575,7838,5181,0,6835,8230,35290,351,3342,27,1969,402,3648,2982,8408,2344,4532,1255,30,1122,2705,2318,50,5156,0,8954,1832,1666,3723,883,712,0,2805,0,6126,1480,2234,2838,5565,3038,1033,924,1310
2024/2/4,5133,0,4347,0,12081,1053,2209,556,13892,1517,1950,1534,6927,67469,969,12028,18156,22413,44677,10170,7547,326,0,15010,688,54128,172,31923,102,4371,794,7169,5056,17873,1429,1254,229,661,2494,3760,3682,761,19558,60,1339,3600,1779,8499,2617,245,0,1329,1176,22749,1050,4639,2239,2615,2151,3222,657,529
2024/2/11,8431,2218,8669,0,26740,1475,1669,1003,13138,4182,2832,2519,7582,144124,570,15381,20694,24182,42138,11692,13988,43,0,24996,249,101351,225,72277,670,4477,218,8910,8909,23601,3159,1761,887,329,7222,6471,4693,1358,51840,57,3420,3544,3745,9793,5965,9654,2260,7496,1998,36661,4046,14549,4226,10472,2890,1958,1881,342
2024/2/18,5688,98,12289,0,11377,1665,2155,4627,23114,885,1731,4625,10165,48232,1134,22481,30867,44302,81371,10557,15173,0,24,22626,108,49920,181,36334,78,8055,137,9159,14163,43105,406,534,2344,601,11048,7334,8315,1071,15102,24,4912,14615,7988,7035,870,2115,2716,9219,837,18552,1823,5586,7053,7414,4890,344,394,5441
2024/2/25,4103,99,11282,853,10289,2121,4687,1667,20009,1924,1581,887,9339,50565,1318,9891,26441,40978,67860,11975,14522,23,162,23192,561,93534,354,28022,144,6645,726,15945,18374,35854,2591,3202,2028,494,10374,6596,5740,602,13610,88,3390,11198,2397,17925,3598,1518,2854,1208,1130,16209,1686,4935,3781,9344,4836,4390,1474,3684
2024/3/3,6842,109,5917,551,25432,1361,2676,705,24573,3341,2749,443,11837,115202,1823,15815,18868,31336,52547,13678,30772,2,438,13448,1211,80271,563,74132,45,8700,146,11200,13011,32210,4553,1257,1820,392,8478,6368,8325,588,35816,207,5791,5201,7245,3954,707,6422,2204,8800,469,35049,4099,2051,3790,9077,5862,11595,762,6314
2024/3/10,3869,2334,17423,238,12029,751,3518,1233,25242,2698,2492,101,6462,21058,643,12590,24795,39427,55808,15904,14348,7761,36,22948,265,102722,298,17657,63,8430,551,9322,10081,31569,3004,1837,952,226,10871,9394,9743,396,9173,168,1700,13444,5869,17838,1039,2622,1319,3327,570,16197,4720,3287,5173,7402,2798,78,1099,8555
2024/3/17,1030,880,19332,202,19657,198,7070,558,30437,2289,4998,9045,7329,70942,737,31321,71598,28094,57163,7211,10396,3678,42,14350,2440,59948,2531,53871,108,19826,493,24257,12578,31510,2412,294,955,409,35566,14651,17889,639,19815,155,4201,11391,4914,14943,8779,15348,1870,3583,768,23148,6551,9749,4885,9862,10103,22331,657,4875
2024/3/24,8876,546,4055,238,22235,4727,16263,780,28472,6530,2618,5952,10120,111810,1102,46248,117924,24810,93431,18913,12329,4418,132,6720,1681,70923,91,81452,931,27837,374,55583,14105,51368,5166,9149,603,411,15865,14587,18407,756,30587,153,14022,14630,2648,5238,8060,4340,1628,3271,800,23854,5825,2718,5729,6695,9635,17660,1646,6093
2024/3/31,6743,369,2991,527,25025,4031,878,1413,7297,1476,1508,1062,10706,100991,1359,18952,32593,68686,68368,6234,11709,3554,136,10510,1650,40691,283,59932,72,10490,0,15164,24527,40909,3923,217,4099,303,27530,9493,19423,408,17410,209,2581,11755,7434,19891,2803,2379,537,1719,651,22546,2080,18586,6334,3887,1260,1946,461,2935
2024/4/7,12773,245,17509,210,21231,4817,48,1242,23623,5453,1420,2075,12255,204521,833,17198,43011,73516,122475,18834,17736,1668,373,4716,2033,92750,399,132715,366,7687,13,19660,37782,76411,4113,306,6302,434,43837,13710,6195,858,64489,201,1706,19528,17875,18279,5846,5852,928,2882,513,49296,2600,15118,8606,28396,6218,2860,614,2434
2024/4/14,10367,610,19530,338,19648,2870,12591,2510,48298,2339,8230,3560,11096,167323,1898,9493,35699,77285,104297,9612,17607,4886,41,18048,684,105671,706,88917,294,7014,2390,13152,40230,61204,2426,2915,1662,201,18532,19539,66134,451,40478,198,9078,20107,29246,29722,5372,10491,309,2214,443,37841,4091,4976,25996,10915,6969,10407,816,5041
2024/4/21,5412,256,17653,453,44170,1755,22050,18264,42147,7344,1135,3006,13762,82030,1681,7656,13970,81203,109491,14836,15334,4555,0,16693,1917,115987,1500,68759,119,4637,1370,10567,33122,92263,5283,2838,329,214,11884,21772,15607,1108,22522,48,6077,26716,19875,43867,2702,2748,24,815,1115,47762,2101,8809,18769,45588,3097,5149,359,906
2024/4/28,7962,278,8722,442,22152,5286,7688,4732,53919,7313,1625,2509,14010,117043,945,13001,14524,58501,141250,22684,15088,1104,0,24900,3835,110761,829,117293,266,8103,1023,7195,31375,92523,4348,2170,15,884,17939,23988,40059,469,48271,269,9472,7572,17677,31063,11920,5787,2758,2741,1036,37649,4161,15769,10555,29658,5380,6283,4058,7800
2024/5/5,8967,930,12185,622,52026,5040,2486,6817,54850,5355,1979,3866,12923,160929,1696,14880,34901,109504,125543,9288,15038,6448,0,2864,2405,32541,1068,141030,560,11650,1018,24787,42138,72264,987,1793,0,3187,34228,22511,34793,897,68742,324,9740,14019,21471,57282,3382,4168,5290,4437,810,76238,3055,23002,10929,49993,3195,7487,1033,2112
2024/5/12,6236,616,23840,573,30261,6607,203,37989,41763,4769,3619,7405,15916,56376,2399,21521,43107,93605,88845,15011,23307,3419,0,43274,3291,110592,832,52697,301,13318,0,32842,47842,75858,840,914,8273,1559,40740,21929,47868,749,34123,331,8110,30873,77974,60280,3832,9743,857,125,844,22206,3090,9189,23345,43659,5377,8754,802,10546
2024/5/19,12177,218,7726,449,37582,5713,23811,5030,70277,2180,2401,841,11220,189030,1412,31418,31913,105905,124294,27853,20254,292,0,4222,195,66980,811,100051,208,15041,4158,27939,56272,85917,551,208,5176,602,35996,24165,37161,674,49915,226,11541,2176,27621,68723,2633,4865,582,1,653,70912,4524,5999,18588,82409,7325,6025,403,2452
2024/5/26,9624,265,28690,626,17648,5801,1517,1797,50858,538,1449,4561,12005,74169,977,17740,46193,107097,141497,23183,21976,5892,953,3412,9720,123132,1230,64454,416,17309,1466,31073,71679,125728,353,124,3343,3136,26224,28780,32394,857,71805,325,8589,6418,60191,56090,4948,1351,1577,12396,649,27263,4330,6630,36731,30237,5806,5308,520,4442
2024/6/2,5871,142,9275,320,32358,1653,139,10387,40373,5663,741,2278,10493,93070,2319,16423,23456,64975,88819,8717,17615,2816,38,27318,1778,107936,750,109860,425,15686,945,13886,19563,82810,3739,3480,300,1132,17949,4719,59593,347,40587,130,6843,7849,5063,41382,3530,7485,401,2767,800,36492,4385,4908,13222,19009,7814,6141,455,3603
